type,handle,field,english,arabic
product,austria-2026-27-away-shirt,title,Austria 2026/27 Away Shirt,قميص النمسا 2026/27 الاحتياطي
collection,,title,Austria,النمسا
product,barcelona-2025-26-away-shirt,title,Barcelona 2025/26 Away Shirt,قميص برشلونة 2025/26 الاحتياطي
collection,,title,Barcelona,برشلونة
product,barcelona-2025-26-home-shirt,title,Barcelona 2025/26 Home Shirt,قميص برشلونة 2025/26 الأساسي
product,barcelona-2026-27-away-shirt,title,Barcelona 2026/27 Away Shirt,قميص برشلونة 2026/27 الاحتياطي
product,barcelona-2026-27-home-shirt,title,Barcelona 2026/27 Home Shirt,قميص برشلونة 2026/27 الأساسي
product,bayern-munich-2025-26-away-shirt,title,Bayern Munich 2025/26 Away Shirt,قميص بايرن ميونخ 2025/26 الاحتياطي
collection,,title,Bayern Munich,بايرن ميونخ
product,bayern-munich-2025-26-home-shirt,title,Bayern Munich 2025/26 Home Shirt,قميص بايرن ميونخ 2025/26 الأساسي
product,bayern-munich-2026-27-away-shirt,title,Bayern Munich 2026/27 Away Shirt,قميص بايرن ميونخ 2026/27 الاحتياطي
product,belgium-2026-away-shirt,title,Belgium 2026 Away Shirt,قميص بلجيكا 2026 الاحتياطي
collection,,title,Belgium,بلجيكا
product,belgium-2026-home-shirt,title,Belgium 2026 Home Shirt,قميص بلجيكا 2026 الأساسي
product,belgium-2026-27-away-shirt,title,Belgium 2026/27 Away Shirt,قميص بلجيكا 2026/27 الاحتياطي
product,bolivia-2025-26-away-shirt,title,Bolivia 2025/26 Away Shirt,قميص بوليفيا 2025/26 الاحتياطي
collection,,title,Bolivia,بوليفيا
product,bolivia-2025-26-home-shirt,title,Bolivia 2025/26 Home Shirt,قميص بوليفيا 2025/26 الأساسي
product,borussia-dortmund-2025-26-home-shirt,title,Borussia Dortmund 2025/26 Home Shirt,قميص بوروسيا دورتموند 2025/26 الأساسي
collection,,title,Borussia Dortmund,بوروسيا دورتموند
product,borussia-dortmund-2026-27-away-shirt,title,Borussia Dortmund 2026/27 Away Shirt,قميص بوروسيا دورتموند 2026/27 الاحتياطي
product,borussia-m-nchengladbach-2025-26-home-shirt,title,Borussia Mönchengladbach 2025/26 Home Shirt,قميص بوروسيا مونشنغلادباخ 2025/26 الأساسي
collection,,title,Borussia Mönchengladbach,بوروسيا مونشنغلادباخ
product,bosnia-and-herzegovina-2026-27-away-shirt,title,Bosnia and Herzegovina 2026/27 Away Shirt,قميص البوسنة والهرسك 2026/27 الاحتياطي
collection,,title,Bosnia and Herzegovina,البوسنة والهرسك
product,bosnia-and-herzegovina-2026-27-home-shirt,title,Bosnia and Herzegovina 2026/27 Home Shirt,قميص البوسنة والهرسك 2026/27 الأساسي
product,brazil-2025-26-away-shirt,title,Brazil 2025/26 Away Shirt,قميص البرازيل 2025/26 الاحتياطي
collection,,title,Brazil,البرازيل
product,brazil-2025-26-home-shirt,title,Brazil 2025/26 Home Shirt,قميص البرازيل 2025/26 الأساسي
product,brazil-2026-away-shirt,title,Brazil 2026 Away Shirt,قميص البرازيل 2026 الاحتياطي
product,brazil-2026-home-shirt,title,Brazil 2026 Home Shirt,قميص البرازيل 2026 الأساسي
product,brazil-2026-27-away-shirt,title,Brazil 2026/27 Away Shirt,قميص البرازيل 2026/27 الاحتياطي
product,brazil-2026-27-home-shirt,title,Brazil 2026/27 Home Shirt,قميص البرازيل 2026/27 الأساسي
product,brentford-2026-27-home-shirt,title,Brentford 2026/27 Home Shirt,قميص برينتفورد 2026/27 الأساسي
collection,,title,Brentford,برينتفورد
product,brighton-hove-albion-2026-27-away-shirt,title,Brighton Hove Albion 2026/27 Away Shirt,قميص برايتون 2026/27 الاحتياطي
collection,,title,Brighton Hove Albion,برايتون
product,burnley-2026-27-home-shirt,title,Burnley 2026/27 Home Shirt,قميص بيرنلي 2026/27 الأساسي
collection,,title,Burnley,بيرنلي
product,cagliari-2026-27-away-shirt,title,Cagliari 2026/27 Away Shirt,قميص كالياري 2026/27 الاحتياطي
collection,,title,Cagliari,كالياري
product,cameroon-2025-26-away-shirt,title,Cameroon 2025/26 Away Shirt,قميص الكاميرون 2025/26 الاحتياطي
collection,,title,Cameroon,الكاميرون
product,cameroon-2025-26-home-shirt,title,Cameroon 2025/26 Home Shirt,قميص الكاميرون 2025/26 الأساسي
product,cameroon-2025-26-third-shirt,title,Cameroon 2025/26 Third Shirt,قميص الكاميرون 2025/26 الثالث
product,canada-2026-home-shirt,title,Canada 2026 Home Shirt,قميص كندا 2026 الأساسي
collection,,title,Canada,كندا
product,canada-2026-27-away-shirt,title,Canada 2026/27 Away Shirt,قميص كندا 2026/27 الاحتياطي
product,celta-vigo-2025-26-home-shirt,title,Celta Vigo 2025/26 Home Shirt,قميص سيلتا فيغو 2025/26 الأساسي
collection,,title,Celta Vigo,سيلتا فيغو
product,celta-vigo-2026-27-away-shirt,title,Celta Vigo 2026/27 Away Shirt,قميص سيلتا فيغو 2026/27 الاحتياطي
product,celta-vigo-2026-27-home-shirt,title,Celta Vigo 2026/27 Home Shirt,قميص سيلتا فيغو 2026/27 الأساسي
product,celta-vigo-2026-27-third-shirt,title,Celta Vigo 2026/27 Third Shirt,قميص سيلتا فيغو 2026/27 الثالث
product,chelsea-2025-26-away-shirt,title,Chelsea 2025/26 Away Shirt,قميص تشيلسي 2025/26 الاحتياطي
collection,,title,Chelsea,تشيلسي
product,chelsea-2025-26-home-shirt,title,Chelsea 2025/26 Home Shirt,قميص تشيلسي 2025/26 الأساسي
product,chelsea-2026-27-home-shirt,title,Chelsea 2026/27 Home Shirt,قميص تشيلسي 2026/27 الأساسي
product,chelsea-2026-27-third-shirt,title,Chelsea 2026/27 Third Shirt,قميص تشيلسي 2026/27 الثالث
product,chile-2025-26-home-shirt,title,Chile 2025/26 Home Shirt,قميص تشيلي 2025/26 الأساسي
collection,,title,Chile,تشيلي
product,chile-2026-27-away-shirt,title,Chile 2026/27 Away Shirt,قميص تشيلي 2026/27 الاحتياطي
product,colombia-2025-26-home-shirt,title,Colombia 2025/26 Home Shirt,قميص كولومبيا 2025/26 الأساسي
collection,,title,Colombia,كولومبيا
product,colombia-2026-away-shirt,title,Colombia 2026 Away Shirt,قميص كولومبيا 2026 الاحتياطي
product,colombia-2026-home-shirt,title,Colombia 2026 Home Shirt,قميص كولومبيا 2026 الأساسي
product,colombia-2026-27-away-shirt,title,Colombia 2026/27 Away Shirt,قميص كولومبيا 2026/27 الاحتياطي
product,como-2026-27-home-shirt,title,Como 2026/27 Home Shirt,قميص كومو 2026/27 الأساسي
collection,,title,Como,كومو
product,congo-2026-27-home-shirt,title,Congo 2026/27 Home Shirt,قميص الكونغو 2026/27 الأساسي
collection,,title,Congo,الكونغو
product,croatia-2026-away-shirt,title,Croatia 2026 Away Shirt,قميص كرواتيا 2026 الاحتياطي
collection,,title,Croatia,كرواتيا
product,croatia-2026-home-shirt,title,Croatia 2026 Home Shirt,قميص كرواتيا 2026 الأساسي
product,croatia-2026-27-away-shirt,title,Croatia 2026/27 Away Shirt,قميص كرواتيا 2026/27 الاحتياطي
product,croatia-2026-27-home-shirt,title,Croatia 2026/27 Home Shirt,قميص كرواتيا 2026/27 الأساسي
product,curacao-2026-away-shirt,title,Curacao 2026 Away Shirt,قميص كوراساو 2026 الاحتياطي
collection,,title,Curacao,كوراساو
product,curacao-2026-27-home-shirt,title,Curacao 2026/27 Home Shirt,قميص كوراساو 2026/27 الأساسي
product,czech-republic-2026-home-shirt,title,Czech Republic 2026 Home Shirt,قميص التشيك 2026 الأساسي
collection,,title,Czech Republic,التشيك
product,ecuador-2025-26-away-shirt,title,Ecuador 2025/26 Away Shirt,قميص الإكوادور 2025/26 الاحتياطي
collection,,title,Ecuador,الإكوادور
product,ecuador-2025-26-home-shirt,title,Ecuador 2025/26 Home Shirt,قميص الإكوادور 2025/26 الأساسي
product,ecuador-2026-away-shirt,title,Ecuador 2026 Away Shirt,قميص الإكوادور 2026 الاحتياطي
product,ecuador-2026-home-shirt,title,Ecuador 2026 Home Shirt,قميص الإكوادور 2026 الأساسي
product,ecuador-2026-third-shirt,title,Ecuador 2026 Third Shirt,قميص الإكوادور 2026 الثالث
product,egypt-2025-26-home-shirt,title,Egypt 2025/26 Home Shirt,قميص مصر 2025/26 الأساسي
collection,,title,Egypt,مصر
product,egypt-2026-away-shirt,title,Egypt 2026 Away Shirt,قميص مصر 2026 الاحتياطي
product,egypt-2026-27-home-shirt,title,Egypt 2026/27 Home Shirt,قميص مصر 2026/27 الأساسي
product,eintracht-frankfurt-2025-26-home-shirt,title,Eintracht Frankfurt 2025/26 Home Shirt,قميص آينتراخت فرانكفورت 2025/26 الأساسي
collection,,title,Eintracht Frankfurt,آينتراخت فرانكفورت
product,eintracht-frankfurt-2026-27-away-shirt,title,Eintracht Frankfurt 2026/27 Away Shirt,قميص آينتراخت فرانكفورت 2026/27 الاحتياطي
product,el-salvador-2025-26-away-shirt,title,El Salvador 2025/26 Away Shirt,قميص السلفادور 2025/26 الاحتياطي
collection,,title,El Salvador,السلفادور
product,el-salvador-2025-26-home-shirt,title,El Salvador 2025/26 Home Shirt,قميص السلفادور 2025/26 الأساسي
product,england-2025-26-away-shirt,title,England 2025/26 Away Shirt,قميص إنجلترا 2025/26 الاحتياطي
collection,,title,England,إنجلترا
product,england-2025-26-home-shirt,title,England 2025/26 Home Shirt,قميص إنجلترا 2025/26 الأساسي
product,england-2026-home-shirt,title,England 2026 Home Shirt,قميص إنجلترا 2026 الأساسي
product,england-2026-27-away-shirt,title,England 2026/27 Away Shirt,قميص إنجلترا 2026/27 الاحتياطي
product,england-2026-27-home-shirt,title,England 2026/27 Home Shirt,قميص إنجلترا 2026/27 الأساسي
product,espanyol-2026-27-home-shirt,title,Espanyol 2026/27 Home Shirt,قميص إسبانيول 2026/27 الأساسي
collection,,title,Espanyol,إسبانيول
product,everton-2026-27-away-shirt,title,Everton 2026/27 Away Shirt,قميص إيفرتون 2026/27 الاحتياطي
collection,,title,Everton,إيفرتون
product,everton-2026-27-home-shirt,title,Everton 2026/27 Home Shirt,قميص إيفرتون 2026/27 الأساسي
product,fc-st-pauli-2026-27-away-shirt,title,FC St. Pauli 2026/27 Away Shirt,قميص سانت باولي 2026/27 الاحتياطي
collection,,title,FC St. Pauli,سانت باولي
product,fc-st-pauli-2026-27-home-shirt,title,FC St. Pauli 2026/27 Home Shirt,قميص سانت باولي 2026/27 الأساسي
product,finland-2026-27-away-shirt,title,Finland 2026/27 Away Shirt,قميص فنلندا 2026/27 الاحتياطي
collection,,title,Finland,فنلندا
product,finland-2026-27-home-shirt,title,Finland 2026/27 Home Shirt,قميص فنلندا 2026/27 الأساسي
product,fiorentina-2026-27-home-shirt,title,Fiorentina 2026/27 Home Shirt,قميص فيورنتينا 2026/27 الأساسي
collection,,title,Fiorentina,فيورنتينا
product,france-2025-26-away-shirt,title,France 2025/26 Away Shirt,قميص فرنسا 2025/26 الاحتياطي
collection,,title,France,فرنسا
product,france-2026-away-shirt,title,France 2026 Away Shirt,قميص فرنسا 2026 الاحتياطي
product,france-2026-home-shirt,title,France 2026 Home Shirt,قميص فرنسا 2026 الأساسي
product,france-2026-27-away-shirt,title,France 2026/27 Away Shirt,قميص فرنسا 2026/27 الاحتياطي
product,france-2026-27-home-shirt,title,France 2026/27 Home Shirt,قميص فرنسا 2026/27 الأساسي
product,fulham-2026-27-home-shirt,title,Fulham 2026/27 Home Shirt,قميص فولهام 2026/27 الأساسي
collection,,title,Fulham,فولهام
product,germany-2025-26-home-shirt,title,Germany 2025/26 Home Shirt,قميص ألمانيا 2025/26 الأساسي
collection,,title,Germany,ألمانيا
product,germany-2026-away-shirt,title,Germany 2026 Away Shirt,قميص ألمانيا 2026 الاحتياطي
product,germany-2026-home-shirt,title,Germany 2026 Home Shirt,قميص ألمانيا 2026 الأساسي
product,germany-2026-27-away-shirt,title,Germany 2026/27 Away Shirt,قميص ألمانيا 2026/27 الاحتياطي
product,germany-2026-27-home-shirt,title,Germany 2026/27 Home Shirt,قميص ألمانيا 2026/27 الأساسي
product,germany-2026-27-third-shirt,title,Germany 2026/27 Third Shirt,قميص ألمانيا 2026/27 الثالث
product,getafe-2026-27-away-shirt,title,Getafe 2026/27 Away Shirt,قميص خيتافي 2026/27 الاحتياطي
collection,,title,Getafe,خيتافي
product,ghana-2025-26-away-shirt,title,Ghana 2025/26 Away Shirt,قميص غانا 2025/26 الاحتياطي
collection,,title,Ghana,غانا
product,ghana-2025-26-home-shirt,title,Ghana 2025/26 Home Shirt,قميص غانا 2025/26 الأساسي
product,ghana-2026-away-shirt,title,Ghana 2026 Away Shirt,قميص غانا 2026 الاحتياطي
product,ghana-2026-home-shirt,title,Ghana 2026 Home Shirt,قميص غانا 2026 الأساسي
product,guatemala-2025-26-away-shirt,title,Guatemala 2025/26 Away Shirt,قميص غواتيمالا 2025/26 الاحتياطي
collection,,title,Guatemala,غواتيمالا
product,guatemala-2026-27-home-shirt,title,Guatemala 2026/27 Home Shirt,قميص غواتيمالا 2026/27 الأساسي
product,haiti-2026-away-shirt,title,Haiti 2026 Away Shirt,قميص هايتي 2026 الاحتياطي
collection,,title,Haiti,هايتي
product,haiti-2026-home-shirt,title,Haiti 2026 Home Shirt,قميص هايتي 2026 الأساسي
product,haiti-2026-third-shirt,title,Haiti 2026 Third Shirt,قميص هايتي 2026 الثالث
product,haiti-2026-27-away-shirt,title,Haiti 2026/27 Away Shirt,قميص هايتي 2026/27 الاحتياطي
product,haiti-2026-27-home-shirt,title,Haiti 2026/27 Home Shirt,قميص هايتي 2026/27 الأساسي
product,hamburger-sv-2025-26-away-shirt,title,Hamburger SV 2025/26 Away Shirt,قميص هامبورغ 2025/26 الاحتياطي
collection,,title,Hamburger SV,هامبورغ
product,hellas-verona-2025-26-home-shirt,title,Hellas Verona 2025/26 Home Shirt,قميص هيلاس فيرونا 2025/26 الأساسي
collection,,title,Hellas Verona,هيلاس فيرونا
product,honduras-2026-27-away-shirt,title,Honduras 2026/27 Away Shirt,قميص هندوراس 2026/27 الاحتياطي
collection,,title,Honduras,هندوراس
product,honduras-2026-27-home-shirt,title,Honduras 2026/27 Home Shirt,قميص هندوراس 2026/27 الأساسي
product,hungary-2025-26-home-shirt,title,Hungary 2025/26 Home Shirt,قميص المجر 2025/26 الأساسي
collection,,title,Hungary,المجر
product,inter-milan-2025-26-away-shirt,title,Inter Milan 2025/26 Away Shirt,قميص إنتر ميلان 2025/26 الاحتياطي
collection,,title,Inter Milan,إنتر ميلان
product,inter-milan-2025-26-home-shirt,title,Inter Milan 2025/26 Home Shirt,قميص إنتر ميلان 2025/26 الأساسي
product,inter-milan-2026-27-away-shirt,title,Inter Milan 2026/27 Away Shirt,قميص إنتر ميلان 2026/27 الاحتياطي
product,italy-2025-26-away-shirt,title,Italy 2025/26 Away Shirt,قميص إيطاليا 2025/26 الاحتياطي
collection,,title,Italy,إيطاليا
product,italy-2025-26-home-shirt,title,Italy 2025/26 Home Shirt,قميص إيطاليا 2025/26 الأساسي
product,italy-2026-home-shirt,title,Italy 2026 Home Shirt,قميص إيطاليا 2026 الأساسي
product,italy-2026-27-away-shirt,title,Italy 2026/27 Away Shirt,قميص إيطاليا 2026/27 الاحتياطي
product,italy-2026-27-home-shirt,title,Italy 2026/27 Home Shirt,قميص إيطاليا 2026/27 الأساسي
product,jamaica-2026-27-home-shirt,title,Jamaica 2026/27 Home Shirt,قميص جامايكا 2026/27 الأساسي
collection,,title,Jamaica,جامايكا
product,japan-2025-26-home-shirt,title,Japan 2025/26 Home Shirt,قميص اليابان 2025/26 الأساسي
collection,,title,Japan,اليابان
product,japan-2026-away-shirt,title,Japan 2026 Away Shirt,قميص اليابان 2026 الاحتياطي
product,japan-2026-home-shirt,title,Japan 2026 Home Shirt,قميص اليابان 2026 الأساسي
product,japan-2026-27-away-shirt,title,Japan 2026/27 Away Shirt,قميص اليابان 2026/27 الاحتياطي
product,japan-2026-27-home-shirt,title,Japan 2026/27 Home Shirt,قميص اليابان 2026/27 الأساسي
product,jordan-2026-away-shirt,title,Jordan 2026 Away Shirt,قميص الأردن 2026 الاحتياطي
collection,,title,Jordan,الأردن
product,jordan-2026-home-shirt,title,Jordan 2026 Home Shirt,قميص الأردن 2026 الأساسي
product,jordan-2026-third-shirt,title,Jordan 2026 Third Shirt,قميص الأردن 2026 الثالث
product,leeds-united-2026-27-away-shirt,title,Leeds United 2026/27 Away Shirt,قميص ليدز يونايتد 2026/27 الاحتياطي
collection,,title,Leeds United,ليدز يونايتد
product,leeds-united-2026-27-home-shirt,title,Leeds United 2026/27 Home Shirt,قميص ليدز يونايتد 2026/27 الأساسي
product,lens-2026-27-away-shirt,title,Lens 2026/27 Away Shirt,قميص لانس 2026/27 الاحتياطي
collection,,title,Lens,لانس
product,lens-2026-27-home-shirt,title,Lens 2026/27 Home Shirt,قميص لانس 2026/27 الأساسي
product,levante-2025-26-home-shirt,title,Levante 2025/26 Home Shirt,قميص ليفانتي 2025/26 الأساسي
collection,,title,Levante,ليفانتي
product,levante-2026-27-away-shirt,title,Levante 2026/27 Away Shirt,قميص ليفانتي 2026/27 الاحتياطي
product,levante-2026-27-home-shirt,title,Levante 2026/27 Home Shirt,قميص ليفانتي 2026/27 الأساسي
product,lille-2026-27-home-shirt,title,Lille 2026/27 Home Shirt,قميص ليل 2026/27 الأساسي
collection,,title,Lille,ليل
product,lyon-2026-27-home-shirt,title,Lyon 2026/27 Home Shirt,قميص ليون 2026/27 الأساسي
collection,,title,Lyon,ليون
product,lyon-2026-27-third-shirt,title,Lyon 2026/27 Third Shirt,قميص ليون 2026/27 الثالث
product,malaysia-2025-26-away-shirt,title,Malaysia 2025/26 Away Shirt,قميص ماليزيا 2025/26 الاحتياطي
collection,,title,Malaysia,ماليزيا
product,malaysia-2025-26-home-shirt,title,Malaysia 2025/26 Home Shirt,قميص ماليزيا 2025/26 الأساسي
product,mallorca-2025-26-home-shirt,title,Mallorca 2025/26 Home Shirt,قميص مايوركا 2025/26 الأساسي
collection,,title,Mallorca,مايوركا
product,mallorca-2026-27-home-shirt,title,Mallorca 2026/27 Home Shirt,قميص مايوركا 2026/27 الأساسي
product,manchester-city-2025-26-away-shirt,title,Manchester City 2025/26 Away Shirt,قميص مانشستر سيتي 2025/26 الاحتياطي
collection,,title,Manchester City,مانشستر سيتي
product,manchester-city-2025-26-home-shirt,title,Manchester City 2025/26 Home Shirt,قميص مانشستر سيتي 2025/26 الأساسي
product,manchester-city-2025-26-third-shirt,title,Manchester City 2025/26 Third Shirt,قميص مانشستر سيتي 2025/26 الثالث
product,manchester-city-2026-27-away-shirt,title,Manchester City 2026/27 Away Shirt,قميص مانشستر سيتي 2026/27 الاحتياطي
product,manchester-city-2026-27-home-shirt,title,Manchester City 2026/27 Home Shirt,قميص مانشستر سيتي 2026/27 الأساسي
product,manchester-city-2026-27-third-shirt,title,Manchester City 2026/27 Third Shirt,قميص مانشستر سيتي 2026/27 الثالث
product,manchester-united-2025-26-away-shirt,title,Manchester United 2025/26 Away Shirt,قميص مانشستر يونايتد 2025/26 الاحتياطي
collection,,title,Manchester United,مانشستر يونايتد
product,manchester-united-2025-26-home-shirt,title,Manchester United 2025/26 Home Shirt,قميص مانشستر يونايتد 2025/26 الأساسي
product,manchester-united-2026-27-away-shirt,title,Manchester United 2026/27 Away Shirt,قميص مانشستر يونايتد 2026/27 الاحتياطي
product,manchester-united-2026-27-home-shirt,title,Manchester United 2026/27 Home Shirt,قميص مانشستر يونايتد 2026/27 الأساسي
product,manchester-united-2026-27-third-shirt,title,Manchester United 2026/27 Third Shirt,قميص مانشستر يونايتد 2026/27 الثالث
product,marseille-2026-27-away-shirt,title,Marseille 2026/27 Away Shirt,قميص مارسيليا 2026/27 الاحتياطي
collection,,title,Marseille,مارسيليا
product,mexico-2025-26-away-shirt,title,Mexico 2025/26 Away Shirt,قميص المكسيك 2025/26 الاحتياطي
collection,,title,Mexico,المكسيك
product,mexico-2025-26-home-shirt,title,Mexico 2025/26 Home Shirt,قميص المكسيك 2025/26 الأساسي
product,mexico-2026-away-shirt,title,Mexico 2026 Away Shirt,قميص المكسيك 2026 الاحتياطي
product,mexico-2026-home-shirt,title,Mexico 2026 Home Shirt,قميص المكسيك 2026 الأساسي
product,mexico-2026-third-shirt,title,Mexico 2026 Third Shirt,قميص المكسيك 2026 الثالث
product,mexico-2026-27-away-shirt,title,Mexico 2026/27 Away Shirt,قميص المكسيك 2026/27 الاحتياطي
product,mexico-2026-27-home-shirt,title,Mexico 2026/27 Home Shirt,قميص المكسيك 2026/27 الأساسي
product,mexico-2026-27-third-shirt,title,Mexico 2026/27 Third Shirt,قميص المكسيك 2026/27 الثالث
product,monaco-2025-26-home-shirt,title,Monaco 2025/26 Home Shirt,قميص موناكو 2025/26 الأساسي
collection,,title,Monaco,موناكو
product,monaco-2026-27-home-shirt,title,Monaco 2026/27 Home Shirt,قميص موناكو 2026/27 الأساسي
product,morocco-2025-26-home-shirt,title,Morocco 2025/26 Home Shirt,قميص المغرب 2025/26 الأساسي
collection,,title,Morocco,المغرب
product,morocco-2026-away-shirt,title,Morocco 2026 Away Shirt,قميص المغرب 2026 الاحتياطي
product,morocco-2026-home-shirt,title,Morocco 2026 Home Shirt,قميص المغرب 2026 الأساسي
product,nantes-2026-27-home-shirt,title,Nantes 2026/27 Home Shirt,قميص نانت 2026/27 الأساسي
collection,,title,Nantes,نانت
product,napoli-2026-27-away-shirt,title,Napoli 2026/27 Away Shirt,قميص نابولي 2026/27 الاحتياطي
collection,,title,Napoli,نابولي
product,napoli-2026-27-home-shirt,title,Napoli 2026/27 Home Shirt,قميص نابولي 2026/27 الأساسي
product,napoli-2026-27-third-shirt,title,Napoli 2026/27 Third Shirt,قميص نابولي 2026/27 الثالث
product,netherlands-2026-away-shirt,title,Netherlands 2026 Away Shirt,قميص هولندا 2026 الاحتياطي
collection,,title,Netherlands,هولندا
product,netherlands-2026-home-shirt,title,Netherlands 2026 Home Shirt,قميص هولندا 2026 الأساسي
product,netherlands-2026-27-away-shirt,title,Netherlands 2026/27 Away Shirt,قميص هولندا 2026/27 الاحتياطي
product,netherlands-2026-27-home-shirt,title,Netherlands 2026/27 Home Shirt,قميص هولندا 2026/27 الأساسي
product,new-zealand-2025-26-home-shirt,title,New Zealand 2025/26 Home Shirt,قميص نيوزيلندا 2025/26 الأساسي
collection,,title,New Zealand,نيوزيلندا
product,new-zealand-2026-27-away-shirt,title,New Zealand 2026/27 Away Shirt,قميص نيوزيلندا 2026/27 الاحتياطي
product,newcastle-united-2025-26-home-shirt,title,Newcastle United 2025/26 Home Shirt,قميص نيوكاسل يونايتد 2025/26 الأساسي
collection,,title,Newcastle United,نيوكاسل يونايتد
product,newcastle-united-2026-27-away-shirt,title,Newcastle United 2026/27 Away Shirt,قميص نيوكاسل يونايتد 2026/27 الاحتياطي
